;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
1;1;;2.7247;223;0.0;MeiÃel;0.061613958560523444;0.25;0.375;0.04658303989871668;
2;2;;-16.1494;224;0.0;Schaufel;0.15976008724100327;0.05263157894736842;0.625;0.017134625926830307;
3;3;;-8.2722;224;0.0;Bohrer;0.07470010905125408;0.2631578947368421;0.375;0.008564634070500756;
4;4;;-18.2368;225;0.0;Amboss;0.0;0.05263157894736842;0.375;0.004913602978090458;
5;5;;-8.6992;222;0.0;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.028314091513222193;
6;6;;-12.4008;224;0.0;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.011305915995202618;
7;7;;-2.2003;224;0.0;Pappel;0.04198473282442748;0.5;0.375;0.006362480120031868;
8;8;;-17.7252;224;0.0;Platane;0.010359869138495093;0.09210526315789473;0.5;0.004038358981064685;
9;9;;-18.4957;224;0.0;Fichte;0.48800436205016356;0.5657894736842105;0.375;0.0027149222916080964;
10;10;;-9.4641;224;0.0;Akazie;0.017448200654307525;0.013157894736842105;0.375;0.0018780809443498182;
11;11;;-12.7299;225;0.0;Esche;0.05343511450381679;0.6052631578947368;0.25;0.001312693124387507;
12;12;;-8.3831;222;0.0;Tasse;0.7464558342420938;1.0;0.25;0.03382131612758324;
13;13;;-1.6577;224;0.0;Topf;0.520174482006543;0.5789473684210527;0.125;0.012073807539370152;
14;14;;19.1258;224;0.0;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.005988304554852651;
15;15;;-5.7017;224;0.0;Gabel;0.7382769901853872;0.881578947368421;0.25;0.014712351850150152;
16;16;;-10.6466;224;0.0;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.002960223194336405;
17;17;;-16.8674;224;0.0;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.005064578598840888;
18;18;;-15.8213;224;0.0;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.003071259453420467;
19;19;;-3.4181;225;0.0;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.003976046177893934;
20;20;;-16.2051;222;0.0;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.04989764748026714;
21;21;;8.4566;224;0.0;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.012726343102550657;
22;22;;0.9298;224;0.0;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.0074326678281910405;
23;23;;-5.3917;225;0.0;Specht;0.10359869138495092;0.13157894736842105;0.375;0.005046836092366232;
24;24;;7.4908;222;0.034482758620689655;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.005759580270560769;
25;25;;16.1064;224;0.034482758620689655;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.003972586680693061;
26;26;;-9.8748;224;0.0;Tortenheber;0.0059978189749182115;0.0;1.0;0.0029164761577221204;
27;27;;-12.174000000000001;225;0.034482758620689655;Gabel;0.7382769901853872;0.881578947368421;0.25;0.002201096170240254;
28;28;;-6.3822;222;0.0;Storch;0.12104689203925845;0.18421052631578946;0.375;0.008441271654376541;
29;29;;-0.6079;224;0.0;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.005789216843375866;
30;30;;-13.7928;224;0.034482758620689655;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.004207848359994214;
31;31;;-4.4651;224;0.034482758620689655;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.003159337747597901;
32;32;;-1.8463;224;0.0;Schwalbe;0.08887677208287895;0.17105263157894737;0.625;0.002416741837206209;
33;33;;-1.6289;224;0.034482758620689655;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.0018666755992865563;
34;34;;-18.8392;225;0.0;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.0014458630309432765;
35;35;;-5.1685;223;0.0;Nashorn;0.0485278080697928;0.039473684210526314;0.5;0.029229909773196314;
36;36;;-4.5217;224;0.0;Elefant;0.1663031624863686;0.10526315789473684;0.5;0.004424169555214923;
37;37;;-13.1908;224;0.0;Maultier;0.06924754634678298;0.11842105263157894;0.625;0.0025757500834509765;
38;38;;-30.4134;224;0.0;Gazelle;0.025081788440567066;0.14473684210526316;0.5;0.03183577610382425;
39;39;;-11.2536;224;0.0;Maulwurf;0.1019629225736096;0.06578947368421052;0.625;0.0012902556317675373;
40;40;;-0.2954;225;0.0;BÃ¼ffel;0.0866957470010905;0.19736842105263158;0.375;0.00435898518302081;
41;41;;4.1995;223;0.0;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.001477062882288299;
42;42;;14.7405;224;0.06896551724137931;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.0010453519450478593;
43;43;;-5.9791;224;0.06896551724137931;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.0007444226172889063;
44;44;;-3.0869999999999997;225;0.034482758620689655;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.0005216280573447624;
45;45;;-3.5993;222;0.034482758620689655;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.02765120659939209;
46;46;;18.4591;224;0.06896551724137931;Gabel;0.7382769901853872;0.881578947368421;0.25;0.018373905785749635;
47;47;;-0.3098;224;0.06896551724137931;LÃ¶ffel;0.6853871319520175;0.09210526315789473;0.375;0.010018098808516163;
48;48;;-6.2385;224;0.034482758620689655;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.022525002495032104;
49;49;;-26.8044;224;0.06896551724137931;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.00543582766014684;
50;50;;2.4032;225;0.034482758620689655;Tasse;0.7464558342420938;1.0;0.25;0.006437984358656769;
51;51;;2.0239;222;0.0;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.06475762052982642;
52;52;;2.3866;224;0.0;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.05157284311843359;
53;53;;9.0376;224;0.0;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.005207629568964419;
54;54;;-9.3901;224;0.0;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.007076200151831176;
55;55;;-0.0411;224;0.0;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.004343527295605057;
56;56;;-8.9274;224;0.0;Tomate;0.10141766630316248;0.07894736842105263;0.375;0.0021766250205831218;
57;57;;-18.6014;224;0.0;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.002789255207316649;
